Designator,Footprint,Quantity,Value,LCSC Part #
J1,AHDF15AKGTAXB,1,VGA,
J2,HDRRA12W63P254_2X6_1514X280X635P,1,Pmod 1,
J3,HDRRA12W63P254_2X6_1514X280X635P,1,Pmod 2,
